===============================================================================================================
Blast BS
===============================================================================================================
Bit: 0, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 1, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 2, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 3, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 4, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 5, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 6, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 7, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 8, MSE: nan, MAE: nan, MRE: nan, PAP: 0.998
Bit: 21, MSE: 2.1055478462065573e-15, MAE: 6.166450967209913e-07, MRE: 9.127368284941531e-07, PAP: 0.000
Bit: 22, MSE: 1.1105286415385037e-16, MAE: 8.184727367097241e-08, MRE: 1.6553295789272416e-07, PAP: 0.000
Bit: 23, MSE: 9.671949584082401e-17, MAE: 1.130210173283519e-07, MRE: 2.2221152678733717e-07, PAP: 0.000
Bit: 24, MSE: 3.976932241157028e-17, MAE: 6.483885848071072e-08, MRE: 1.0976447722004042e-07, PAP: 0.000
Bit: 25, MSE: 8.835915279651261e-18, MAE: 5.561617283725284e-08, MRE: 9.919248082028854e-08, PAP: 0.000
Bit: 26, MSE: 1.44063141247132e-18, MAE: 2.0170494385851612e-08, MRE: 3.884715132524184e-08, PAP: 0.000
Bit: 27, MSE: 1.0955834697333541e-18, MAE: 1.4809020228619593e-08, MRE: 2.3932863383294055e-08, PAP: 0.000
Bit: 28, MSE: 1.0723777188382513e-19, MAE: 4.566143722387987e-09, MRE: 8.105578393545458e-09, PAP: 0.000
Bit: 29, MSE: 4.9106484086801964e-20, MAE: 2.4831614379096287e-09, MRE: 4.1482178395159755e-09, PAP: 0.000
Bit: 30, MSE: 1.2844897004930094e-21, MAE: 1.672142900334604e-10, MRE: 3.4464595850867627e-10, PAP: 0.000
Bit: 31, MSE: 3.610232120444309e-21, MAE: 7.4401656661013e-10, MRE: 1.0745166354121363e-09, PAP: 0.000
Bit: 32, MSE: 1.886459091844623e-22, MAE: 1.6811785297221604e-10, MRE: 3.761925301997355e-10, PAP: 0.000
Bit: 33, MSE: 4.437754838333078e-22, MAE: 2.483163397126731e-10, MRE: 2.614739759466996e-10, PAP: 0.000
Bit: 34, MSE: 6.643215422128168e-23, MAE: 1.4934946441951086e-10, MRE: 1.8114279157665834e-10, PAP: 0.000
Bit: 35, MSE: 3.846362442703905e-24, MAE: 2.7192260139492263e-11, MRE: 5.4158805653306885e-11, PAP: 0.000
Bit: 36, MSE: 8.130836948997867e-25, MAE: 7.539820619702672e-12, MRE: 1.5618297623554326e-11, PAP: 0.000
Bit: 37, MSE: 4.521040568080862e-25, MAE: 1.0567317854093261e-11, MRE: 2.112968596301193e-11, PAP: 0.000
Bit: 38, MSE: 3.254512543459044e-25, MAE: 1.2597681068250628e-11, MRE: 1.3527055730493274e-11, PAP: 0.000
Bit: 39, MSE: 1.352928011476882e-25, MAE: 1.041473018936756e-11, MRE: 1.0408139111910754e-11, PAP: 0.000
Bit: 40, MSE: 2.4167397188447454e-26, MAE: 3.4819277091221088e-12, MRE: 2.915216623384601e-12, PAP: 0.000
Bit: 41, MSE: 5.971704266978642e-27, MAE: 1.5269963071773417e-12, MRE: 1.4490960340134968e-12, PAP: 0.000
Bit: 42, MSE: 4.8010478486990724e-27, MAE: 6.599954501047322e-13, MRE: 6.391726441463861e-13, PAP: 0.000
Bit: 43, MSE: 9.470483950491478e-29, MAE: 9.307277171188844e-14, MRE: 1.9475826751264896e-13, PAP: 0.000
Bit: 44, MSE: 1.1261915832021351e-29, MAE: 2.511666088786604e-14, MRE: 5.4640277675807856e-14, PAP: 0.000
Bit: 45, MSE: 2.2911848488865266e-28, MAE: 3.6579766993227736e-13, MRE: 2.9983143532772684e-13, PAP: 0.000
Bit: 46, MSE: 3.783293118503296e-29, MAE: 1.1638467967145516e-13, MRE: 1.0376010231359075e-13, PAP: 0.000
Bit: 47, MSE: 3.496160755364207e-29, MAE: 1.514899317101026e-13, MRE: 1.2059006126781752e-13, PAP: 0.000
Bit: 48, MSE: 2.040871737549212e-29, MAE: 9.152809229483275e-14, MRE: 7.298887028617599e-14, PAP: 0.000
Bit: 49, MSE: 4.018983798194908e-30, MAE: 3.658554940481433e-14, MRE: 2.881031571499593e-14, PAP: 0.000
Bit: 50, MSE: 2.2479413052155623e-29, MAE: 8.615330671091215e-14, MRE: 6.699989580708805e-14, PAP: 0.000
Bit: 51, MSE: 1.8354574273462548e-29, MAE: 1.5244842425469567e-13, MRE: 1.1879261767189608e-13, PAP: 0.000
Bit: 52, MSE: 1.6555938891879786e-31, MAE: 6.540222908700922e-15, MRE: 6.077067659961162e-15, PAP: 0.000
Bit: 53, MSE: 2.4030649821769637e-31, MAE: 1.4099832412739488e-14, MRE: 1.2146700861283063e-14, PAP: 0.000
